shot_id,mean_right_elbow_angle,max_right_elbow_angle,min_right_elbow_angle,range_right_elbow_angle,std_right_elbow_angle,mean_left_elbow_angle,max_left_elbow_angle,min_left_elbow_angle,range_left_elbow_angle,max_right_wrist_height,max_left_wrist_height,right_wrist_velocity,left_wrist_velocity,right_wrist_acceleration,right_wrist_path_length,left_wrist_path_length,mean_right_knee_angle,min_right_knee_angle,max_right_knee_angle,range_right_knee_angle,mean_left_knee_angle,min_left_knee_angle,range_left_knee_angle,mean_head_position_x,mean_head_position_y,head_movement_x,head_movement_y,mean_head_tilt,head_tilt_range,mean_hip_rotation,max_hip_rotation,min_hip_rotation,hip_rotation_range,std_hip_rotation,mean_shoulder_rotation,shoulder_rotation_range,mean_torso_angle,max_torso_lean,torso_angle_range,std_torso_angle,mean_stance_width,max_stance_width,min_stance_width,stance_width_range,std_stance_width,body_sway_x,body_sway_y,total_body_sway,mean_base_of_support,left_ankle_stability_x,left_ankle_stability_y,right_ankle_stability_x,right_ankle_stability_y,shot_duration_frames,shot_duration_seconds,hip_shoulder_coordination,shot_type,bowler_type,innings,balls_remaining,runs_required_if_innings2,venue_expected_runrate_if_innings1,pressure_index_if_innings1,ground_scoring_bucket,pitch_type,weather_condition,wickets_left,match_format,shot_quality
Shot1,126.63648456308893,167.80859085587718,84.04291005,83.76568080198159,19.982399444219478,106.87396138092097,137.3761948,70.05970701091371,67.31648775802728,0.4216963350772857,0.43066445,0.18720284104347235,0.1648811399936677,7.3192646947957725,1.6170027580503108,1.423816868947336,142.1951794066232,106.89506436228886,174.21080315657656,67.31573879,123.8033080586327,87.93996745606708,88.64305735,0.4520923214369133,0.37369800322368496,0.054806443514954756,0.018766248,-141.8431908,42.163792809000284,7.310172560457292,178.84512950466294,-177.9183718,356.76350132144626,147.85362665124825,-74.6439513,349.1629598805051,-2.54481992,14.801421600727428,27.801518279528988,8.985465011042827,0.12872956238474345,0.1942080157328865,0.060163606,0.1340444101200619,0.042699805,0.043392216,0.012672309525429847,0.045204777,0.12872956238474345,0.071503482,0.037356318,0.034422192,0.007775428,61,2.033333333333333,108.75153819467559,Backfoot Punch,spin,1,113,0,7.5,-1.2,Low-Scoring Ground,Hard Bounce Surface,Normal Conditions,9,T20,Good
Shot1_mirrored,106.87396138092096,137.37619476894093,70.05970701091371,67.31648775802722,17.03615557836528,126.63648456308891,167.80859085587727,84.04291005,83.76568080198167,0.43066445,0.4216963350772857,0.1648811399936677,0.18720284104347235,5.110071877301757,1.423816868947336,1.617002758050311,123.8033080586327,87.93996746,176.58302480955058,88.64305735348348,142.1951794066232,106.89506436228885,67.31573879428771,0.5479076785630868,0.37369800322368496,0.054806443514954756,0.018766248,-38.15680925,42.16379280900006,-7.31017256,177.91837181678332,-178.8451295,356.76350132144626,147.85362665124825,74.64395129702685,349.1629598805051,2.5448199197910784,14.801421600727428,27.801518279528988,8.985465011042827,0.12872956238474345,0.1942080157328865,0.060163606,0.13404441012006194,0.042699805,0.043392216,0.012672309525429847,0.045204777,0.12872956238474345,0.034422192,0.007775428,0.071503482,0.037356318,61,2.033333333333333,108.7515381946756,Backfoot Punch,spin,1,113,0,7.5,-1.2,Low-Scoring Ground,Hard Bounce Surface,Normal Conditions,9,T20,Good
shot10,97.72299792170517,152.46432002203022,43.16846276794537,109.29585725408485,34.213348793492706,125.6807404950996,164.75926727342778,29.854903466725446,134.90436380670235,0.3409084975719452,0.3235986828804016,0.3858781036208658,0.38904790930888233,19.36032998917708,5.124730407818558,6.347971035,126.11825860608451,80.16141284611622,172.01064143532142,91.84922859,126.04568062126476,78.40874363,87.88227353525637,0.53399991,0.3499167801245399,0.11173536206761867,0.021185801161008013,-111.0002288,357.2737233940038,-133.2203575,179.97552885760842,-179.8710113,359.8465401509549,82.03184000925684,-100.742696,174.74843441917602,13.720327257394096,40.72435651029964,53.48531981822088,21.205360662828475,0.3399653270034912,0.4336330855438744,0.22519701063499473,0.2084360749088797,0.063515938,0.0704485,0.018940857864624773,0.072950306,0.3399653270034912,0.098784511,0.011480093264870086,0.058225905244054334,0.006670298,69,2.3,51.441656620813546,Backfoot Punch,spin,1,106,0,8,-2.03,High-Scoring Ground,Dry Turning Track,Dry Heat,7,T20,Bad
shot10_mirrored,125.6807404950996,164.75926727342778,29.854903466725418,134.90436380670235,29.051362906796214,97.72299792170517,152.46432002203022,43.16846276794537,109.29585725408485,0.3235986828804016,0.3409084975719452,0.38904790930888233,0.3858781036208658,16.069883641911975,6.347971035,5.124730407818558,126.04568062126476,78.40874363,166.29101716406717,87.88227353525637,126.11825860608451,80.16141284611622,91.84922858920523,0.46600009004275006,0.3499167801245399,0.11173536206761867,0.021185801161008013,-27.26064078,359.58369091205634,133.2203575091729,179.8710112933465,-179.9755289,359.8465401509549,82.03184000925796,100.7426959681773,174.74843441917602,-13.72032726,40.72435651029964,53.48531982,21.20536066282848,0.33996532700349125,0.4336330855438744,0.22519701063499473,0.2084360749088797,0.063515938,0.0704485,0.018940857864624773,0.072950306,0.33996532700349125,0.058225905,0.006670298,0.098784511,0.011480093264870086,69,2.3,51.44165662081389,Backfoot Punch,spin,1,106,0,8,-2.03,High-Scoring Ground,Dry Turning Track,Dry Heat,7,T20,Bad
shot100,112.9196299721375,176.8010447821937,59.26250813887253,117.53853664332118,30.11446678118276,92.26222820993571,150.8945814775645,43.01547031511466,107.87911116244982,0.3208776116371155,0.3635562658309936,0.29183085611525994,0.14139470267803114,10.927246847460351,5.300992166,5.764753024508548,117.58226700069591,43.63467775207636,167.10666079211776,123.47198304004141,117.07358052333079,41.53569208986654,135.3963454363718,0.41266115370549655,0.2547429240063617,0.062067491,0.046865636,-143.4901798,359.6048269808237,-107.564675,179.97548271444487,-179.892428,359.8679107540347,138.27697029605446,-164.2739197,353.3923655207182,21.775728899910785,48.968253353783325,52.04621002606266,17.466768022809983,0.27219041628903945,0.7332488719399771,0.047165565344486696,0.6860833065954904,0.16534355905569342,0.047416114,0.022776412739681874,0.052602783478099026,0.27219041628903945,0.070777763,0.018109894068259396,0.049490563,0.008408177,95,3.1666666666666665,69.22419646662527,on drive,fast,2,20,70,0,0,Neutral Ground,Hard Bounce Surface,Normal Conditions,5,T20,Good
shot100_mirrored,92.26222820993571,150.8945814775645,43.015470315114676,107.87911116244982,33.05702017249836,112.91962997213754,176.8010447821937,59.262508138872505,117.53853664332121,0.3635562658309936,0.3208776116371155,0.14139470267803114,0.29183085611525994,5.493844997498304,5.764753024508549,5.300992165580628,117.07358052333076,41.53569208986654,176.93203752623833,135.3963454363718,117.58226700069591,43.63467775207636,123.47198304004141,0.5873388462945035,0.2547429240063617,0.062067491,0.046865636,-13.77297808,49.362291020039876,107.5646749997309,179.89242803958982,-179.9754827,359.8679107540347,138.27697029605446,164.27391969182707,353.3923655207183,-21.7757289,48.968253353783325,52.04621002606267,17.466768022809987,0.27219041628903945,0.7332488719399771,0.047165565,0.6860833065954904,0.16534355905569342,0.047416114,0.022776412739681874,0.052602783,0.27219041628903945,0.049490563,0.008408177,0.070777763,0.018109894068259396,95,3.1666666666666665,69.22419646662527,on drive,fast,2,20,70,0,0,Neutral Ground,Hard Bounce Surface,Normal Conditions,5,T20,Good
shot101,109.85480786197675,139.6223258154857,65.87812443888825,73.74420137659746,18.72681940017271,92.03956261887117,151.29249440628308,45.04329837760526,106.24919602867783,0.347325325,0.3500361442565918,0.21337515429446577,0.13974223481981377,7.4147662494034945,6.979563338434015,6.576192426125126,105.5813028546647,30.417639357524866,165.7025551,135.28491575579812,114.02211556038363,46.281808604292564,128.96782722750638,0.5609061031237893,0.2688739626303963,0.063411405,0.044111964,-99.51072564,358.7824132589657,-72.00631602,179.93253334216234,-179.7774162,359.70994950645354,156.93149741612518,-96.16800279,359.1115035223652,30.75276030666373,48.29024573785278,36.886023869966614,8.387460653014658,0.39519665241129365,0.719147685,0.010771841041481283,0.7083758440606437,0.14562767629285855,0.063520184,0.024250268,0.067991832,0.39519665241129365,0.056512231516723084,0.017501709048860406,0.073751641,0.016231881068073464,115,3.8333333333333335,44.84151587665931,missed on drive,fast,1,33,0,8.5,-0.95,High-Scoring Ground,Dry Turning Track,Dry Heat,7,T20,Bad
shot101_mirrored,92.03956261887117,151.29249440628308,45.04329837760526,106.24919602867783,26.192447678165724,109.85480786197675,139.62232581548574,65.87812443888825,73.74420137659749,0.3500361442565918,0.347325325,0.13974223481981377,0.21337515429446577,4.386260789052575,6.576192426125128,6.979563338434013,114.02211556038363,46.28180860429258,175.24963583179894,128.96782722750635,105.5813028546647,30.417639357524866,135.28491575579812,0.43909389687621075,0.2688739626303963,0.063411405,0.044111964,-5.358839576,36.42468097149391,72.00631602263462,179.77741616429122,-179.9325333,359.70994950645354,156.93149741612518,96.16800278941979,359.1115035223652,-30.75276031,48.29024573785278,36.886023869966614,8.387460653014656,0.39519665241129365,0.719147685,0.010771841041481283,0.7083758440606437,0.14562767629285855,0.063520184,0.024250267676442113,0.067991832,0.39519665241129365,0.073751641,0.016231881068073464,0.056512231516723084,0.017501709048860406,115,3.8333333333333335,44.841515876659315,missed on drive,fast,1,33,0,8.5,-0.95,High-Scoring Ground,Dry Turning Track,Dry Heat,7,T20,Bad
shot102,103.14461313712937,152.7298746568663,58.18542485364643,94.54444980321986,20.19702762838394,99.29170488555064,149.87913176685436,57.42194297240503,92.45718879444934,0.2789741456508636,0.3693279922008514,0.3685693957588889,0.15412998741323292,14.922477728729948,8.308601862,6.396720861540355,97.84771578165736,51.22473131018284,164.8138094721047,113.58907816192186,119.66430255583629,49.712841452006245,124.8527589,0.7043537216949033,0.2534059061928912,0.19715936560074698,0.039275915,-75.2220653,358.9708881704711,-49.20169105,179.43592588830668,-179.2447174,358.68064332692734,112.74026424761345,-43.91453797,359.49667813613655,24.13125159289818,50.788080906878825,60.80471352190701,19.326016847080776,0.46813748846824427,1.1495819584674698,0.1432393634600463,1.0063425950074234,0.17811062985298817,0.22563314416588465,0.016537613369959663,0.2262383884360856,0.46813748846824427,0.2756688364333402,0.050086738,0.2319490433337543,0.035655339584038895,111,3.7,33.92732825399439,misstimed leg glance,fast,1,31,0,8.5,1.31,Neutral Ground,Flat Batting Pitch,Windy,3,T20,Bad
shot102_mirrored,99.29170488555064,149.87913176685433,57.42194297240504,92.45718879444928,27.386965985580133,103.14461313712937,152.72987465686637,58.18542485364643,94.54444980321995,0.3693279922008514,0.2789741456508636,0.15412998741323292,0.3685693957588889,5.518007469833448,6.396720861540355,8.308601861783568,119.66430255583629,49.71284145200623,174.56560035164824,124.85275889964201,97.84771578165736,51.22473131018284,113.58907816192183,0.29564627830509665,0.2534059061928912,0.197159366,0.039275915,-7.4806374,358.6859888353233,49.201691047789375,179.24471743862068,-179.4359259,358.68064332692734,112.74026424761345,43.91453796511946,359.49667813613655,-24.13125159,50.78808090687881,60.80471352190701,19.326016847080776,0.46813748846824427,1.1495819584674698,0.14323936346004632,1.0063425950074234,0.17811062985298817,0.22563314416588465,0.016537613369959663,0.2262383884360856,0.46813748846824427,0.2319490433337543,0.035655339584038895,0.2756688364333402,0.050086738,111,3.7,33.927328253994396,misstimed leg glance,fast,1,31,0,8.5,1.31,Neutral Ground,Flat Batting Pitch,Windy,3,T20,Bad
